question,option_1,option_2,option_3,option_4,correct_option,Subject,topic,correct_answer,Correct_Option_Number
"When a charged rod is brought near the disc of a negatively charged gold leaf electroscope, it is observed that the divergence of leaves decreases.What inference do you draw about the charge
on the rod?",Rod is positively charged,Rod is negatively charged,Rod has no charge,cant say,,Physics,Electricity,Rod is positively charged,1
"For a common emitter amplifier,
current gain is \( 60 . \) If the emitter current
is \( 6.6 ~ m A \) the collector current is :",\( 0.108 \mathrm{mA} \),6.492 m \( A \),\( 1.1 \mathrm{m} \) А,3.3 \( m A \),,Physics,Electricity,\( 0.108 \mathrm{mA} \),1
"Assertion
When a battery is short-circuited, the
terminal voltage is zero.
Reason
In the situation of a short-circuit, the
current is zero",Both Assertion and Reason are correct and Reason is the correct explanation of Assertion,"Both Assertion and Reason are correct, but Reason is not the correct explanation of Assertion",Assertion is correct but Reason is incorrect,Assertion is incorrect but Reason is correct.,,Physics,Electricity,Both Assertion and Reason are correct and Reason is the correct explanation of Assertion,1
"Assertion
Positive charge always moves from a higher potential point to lower potential point
Reason
Electric potential is a vector quantity",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Assertion is incorrect but Reason is correct,,Physics,Electricity,Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,1
"A diverging electron beam enters a
region of varying potentials.
Intersection of equispaced
equipotential plane surfaces with the
plane of the paper are shown, with their
potentials mentioned in the figure. If
before entering this region, \( x \) and \( y \)
components of the velocity of electrons \( \operatorname{are} 3 \sqrt{\frac{2 e v}{m}} \) and \( \sqrt{\frac{e v}{m}}, \) respectively, where
\( m \) is the mass of an electron and \( e \) is
the electronic charge, then :
This question has multiple correct options",the electron beam is converged,the electron beam is diverged,the electric field is uniform and is directed towards negative x-axis,the electric field is uniform and is directed towards positive x-axis,,Physics,Electricity,the electron beam is converged,1
"In the given arrangement, the loop is moved with constant velocity v in a
uniform magnetic field B in a restricted region of width a. The time for which the
emf is induced in the circuit is?
A \( \cdot \frac{2 b}{v} \)","The time for which the
emf is induced in the circuit is?
A \( \cdot \frac{2 b}{v} \)",\( \frac{2 a}{v} \),\( \frac{(a+b)}{v} \),\( \frac{2(a-b)}{v} \),,Physics,Electricity,"The time for which the
emf is induced in the circuit is?
A \( \cdot \frac{2 b}{v} \)",1
"A wire is bent in the form of an
equilateral triangle of side \( 100 \mathrm{cm} \) and
carries a current of \( 2 A . \) It is placed in
the magnetic field of induction \( 2.0 T \)
directed perpendicular to the plane of the paper. The direction and magnitude
of the magnetic force acting on each side of the triangle will be.",\( 2 N \) normal to the side towards centre of the triangle,\( 2 N \) normal to the side away from the centre of the triangle,\( 4 N \) normal to the side towards centre of the triangle,None of these,,Physics,Electricity,\( 2 N \) normal to the side towards centre of the triangle,1
"f a positively charged pendulum is oscillating in a uniform electric field as shown in Figure. Its
time period of SHM as compared to that when it was uncharged.",A. will increase,Will decrease,will not change,Will first increase then decrease,,Physics,Electricity,A. will increase,1
"You are given \( 5 m \) length of heating wire,
it has resistance of \( 24 \Omega . \) It is cut into
two and connected to 110 volt line
individually. The total power for the two half lengths is:",500 watts,1000 watts,2000 watts,2500 watts,,Physics,Electricity,500 watts,1
"Electric conduction in a semiconductor
takes place due to",electrons only,holes only,both electrons and holes,neither electrons nor holes,,Physics,Electricity,electrons only,1
"A coil of resistance \( 400 \Omega \) is placed in a magnetic field. If the magnetic flux \( \phi(W b) \) linked with the coil varies with time \( t(\sec ) \) as \( \Phi=50 t^{2}+4 \)
The current in the coil at \( t=2 \sec \) is","If the magnetic flux \( \phi(W b) \) linked with the coil varies with time \( t(\sec ) \) as \( \Phi=50 t^{2}+4 \)
The current in the coil at \( t=2 \sec \) is",2A,"1A
\( c .0 .5 A \)",0.1A,,Physics,Electricity,"If the magnetic flux \( \phi(W b) \) linked with the coil varies with time \( t(\sec ) \) as \( \Phi=50 t^{2}+4 \)
The current in the coil at \( t=2 \sec \) is",1
The graph between potential difference and current for a conductor is a straight line passing through the origin. Which law is illustrated by such a graph?,Law ofcombination of resistances,Henry's law,ohm'slaw,Joule's law ofheating,,Physics,Electricity,Law ofcombination of resistances,1
"For a metallic wire, the ratio \( \frac{V}{i} \) (where,
\( \mathbf{V}= \) applied potential difference and \( \mathbf{i}= \)
current flowing",is independent of temperature,increases as the temperature rises,decreases as the temperature rises,increases or decreases as temperature rises depending upon the metal.,,Physics,Electricity,is independent of temperature,1
"Which of the following statements
is/are incorrect for a meter bridge,
which is used to compare two
resistances?","If its wire is replaced by another wire having same length, made of same material but having twice the cross sectional area, the accuracy increases.","If its wire is replaced by another wire of different material, having same cross sectional area but of twice the length, accuracy increases.","If its wire is replaced by another wire of same material, having half the cross sectional radius and half the length, accuracy decreases but sensitivity increases",Metre bridge works on the principle of Wheat-stone bridge,,Physics,Electricity,"If its wire is replaced by another wire having same length, made of same material but having twice the cross sectional area, the accuracy increases.",1
"An emf is induced in an aeroplane
during its ascent and descent in east-
west direction due to",The horizontal component of the earth's magnetic field,The vertical component of the earth's magnetic field,Both 1 and 2,None of the above,,Physics,Electricity,The horizontal component of the earth's magnetic field,1
Energy produced in nuclear power plants is example of:,controlled nuclear fission,uncontrolled nuclear fission,controlled nuclear fusion,uncontrolled nuclear fusion,,Physics,Electricity,controlled nuclear fission,1
"What will be the effect on the
divergence of the leaves of a uncharged gold leaf electroscope on bringing a negatively charged rod near electroscope?",Leaves diverge,Leaves converge,Leaves remains at same position,Can not be determined,,Physics,Electricity,Leaves diverge,1
"A conducting slider of resistance
\( R(10 \Omega), \) mass \( 50 g \& \) length10cm is
kept on a U-shaped frame as shown in
figure. There is uniform magnetic field
\( (B=0.1 T) \) perpendicular to plane of
frame. The slider is attached to a spring \( (K=0.5 N / m) . \) The slider is displaced
by an amount \( A_{0} \& \) released. Time in
which its amplitude become \( A_{0} / e \) is
A . \( 9000 s \)",", \) mass \( 50 g \& \) length10cm is
kept on a U-shaped frame as shown in
figure. There is uniform magnetic field
\( (B=0.1 T) \) perpendicular to plane of
frame. The slider is attached to a spring \( (K=0.5 N / m) . \) The slider is displaced
by an amount \( A_{0} \& \) released. Time in
which its amplitude become \( A_{0} / e \) is
A . \( 9000 s \)",10000 s,\( 12000 s \),15000 s,,Physics,Electricity,", \) mass \( 50 g \& \) length10cm is
kept on a U-shaped frame as shown in
figure. There is uniform magnetic field
\( (B=0.1 T) \) perpendicular to plane of
frame. The slider is attached to a spring \( (K=0.5 N / m) . \) The slider is displaced
by an amount \( A_{0} \& \) released. Time in
which its amplitude become \( A_{0} / e \) is
A . \( 9000 s \)",1
"Assertion
In a simple electric circuit, positive terminal of the battery is a point of lowest potential
Reason
The electronic current flow in a circuit
is from a point of highest potential to a point of lowest potential",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Assertion is incorrect but Reason is correct,,Physics,Electricity,Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,1
What happens when the lower end of the lightning conductor is not properly buried in the ground?,No earthing,Building are protected,Damage building and even life,Both a \&,,Physics,Electricity,No earthing,1
"Assertion
Intrinsic semiconductors are undoped
Reason

Holes in the valence band are vacancies
created by electrons that have been thermally excited to the conduction
band",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Both Assertion and Reason are incorrect,,Physics,Electricity,Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,1
"Assertion
Air is a good conductor of heat
Reason
It's molecules are in close contact with
each other","Both Assertion and Reason are correct and Reason is
the correct explanation for Assertion","Both Assertion and Reason are correct but Reason is
not the correct explanation for Assertion",Assertion is correct but Reason is incorrect,Both Assertion and Reason are incorrect,,Physics,Electricity,"Both Assertion and Reason are correct and Reason is
the correct explanation for Assertion",1
"If a straight wire carrying a current \( \boldsymbol{i}_{1} \) amp runs along the axis of a circular
current carrying loop having current \( i_{2} \) amp, then the force of interaction
between the two current carrying conductors is",zero,Infinity,\( \frac{2 i_{1} i_{2}}{r} N m^{-1} \),\( \frac{\mu_{0}}{4 \pi} \frac{2 i_{1} i_{2}}{r} N m^{-1} \),,Physics,Electricity,zero,1
"Lenses of powers \( 3 D \) and \( -5 D \) are
combined to from a composite lens. An object is placed at a distance of \( 50 \mathrm{cm} \)
from this lens. Calculate the position of its image.",\( -10 \mathrm{cm} \),\( +10 \mathrm{cm} \),-25 ст,\( +25 ~ c m \),,Physics,Electricity,\( -10 \mathrm{cm} \),1
"Assertion
When two long parallel wires, hanging freely are connected in series to a battery, they come closer to each other.
Reason
Wires carrying current in opposite direction repel each other.",Both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,"Both Assertion and Reason are correct, but Reason is not the correct explanation of Assertion",Assertion is correct but Reason is incorrect,Assertion is incorrect but Reason is correct,,Physics,Electricity,Both Assertion and Reason are correct and Reason is the correct explanation of Assertion.,1
"Figure represents a negatively charged gold leaf electroscope. The distribution of charges on the different parts will be
as:","\( A, D \) and \( E \) will have positive charges. \( B \) and \( C \) will have no charge","A, D and E will have negative charges. B and C will have no charge","\( A, D \) and \( E \) will have negative charges. B and \( C \) will have positive charges.","A, D and E will have positive charges. B and C will have negative charges",,Physics,Electricity,"\( A, D \) and \( E \) will have positive charges. \( B \) and \( C \) will have no charge",1
"A full wave p-n diode rectifier uses a
load resistance of \( 1300 \Omega \). No filter is
used. If the internal resistance of each
diode is \( 9 \Omega \), then the efficiency of this full wave rectifier is","If the internal resistance of each
diode is \( 9 \Omega \), then the efficiency of this full wave rectifier is","\( 80.64 \% \)
B . \( 40.6 \% \)",\( 13.9 \% \),\( 100 \% \),,Physics,Electricity,"If the internal resistance of each
diode is \( 9 \Omega \), then the efficiency of this full wave rectifier is",1
"Four point charges \( -\mathrm{Q},-\mathrm{q}, 2 \mathrm{q} \) and \( 2 \mathrm{Q} \) are placed, one at each corner of the square The relation between \( Q \) and \( q \) fo which
the potential at the centre of the square is zero, is",\( Q=q \),\( Q=\frac{1}{q} \),\( Q=-q \),\( Q=-\frac{1}{q} \),,Physics,Electricity,\( Q=q \),1
"The lightning conductor used in building, protects the building by :",dissipating the electric charge away from the building,conducting the lightning safely to the ground,absorbing the electric charge,None of these,,Physics,Electricity,dissipating the electric charge away from the building,1
"Assertion
Air is a bad conductor of heat.
Reason
It's molecules are in continuous contact
with each other.","Both Assertion and Reason are correct and Reason is
the correct explanation for Assertion",Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Both Assertion and Reason are incorrect,,Physics,Electricity,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,2
"The potential at a point due to a charge
of \( 5 \times 10^{-7} \) C located \( 10 \mathrm{cm} \) away is:",\( 3.5 \times 10^{5} \mathrm{V} \),3.5 \( \times 10^{4} \mathrm{v} \),\( 4.5 \times 10^{4} v \),\( 4.5 \times 10^{5} \mathrm{v} \),,Physics,Electricity,\( 3.5 \times 10^{5} \mathrm{V} \),1
"A voltmeter of resistance \( 998 \Omega \) is
connected across a cell of emf \( 2 \mathrm{V} \) and
internal resistance 2\Omega. The potential difference across the voltmeter is?
\( \mathbf{A} \cdot 1.99 \mathrm{v} \)","The potential difference across the voltmeter is?
\( \mathbf{A} \cdot 1.99 \mathrm{v} \)",3.5v,\( 5 v \),\( 6 v \),,Physics,Electricity,"The potential difference across the voltmeter is?
\( \mathbf{A} \cdot 1.99 \mathrm{v} \)",1
"Assertion: In a cavity within a
conductor, the electric field is zero.
Reason: Charges in a conductor reside
only at its surface.","If both assertion and reason are true but the reason is
the correct explanation of assertion.",If both assertion and reason are true but the reason is not the correct explanation of assertion.,If assertion is true but reason is false.,"If both the assertion and reason are false.
E. If reason is true but assertion is false.",,Physics,Electricity,"If both assertion and reason are true but the reason is
the correct explanation of assertion.",1
"Assertion: Material used in the
construction of a standard resistance is
constantan or manganin Reason : Temperature coefficients of constantan and Magnanin are very
small","Both (A) and (R) are true and
(R) is the correct explanation of (A)",Both (A) and (R) are true but (R) is not the correct explanation of \( (A) \),(A) is true but (R) is false,(A) is false but (R) is true,,Physics,Electricity,"Both (A) and (R) are true and
(R) is the correct explanation of (A)",1
"Three charged particles are collinear and are in equilibrium, then",all the charged particle have the same poarity,the equilibrium is unstable,all the charged particles cannot have the same polarity,both (b) and (c) are correct.,,Physics,Electricity,all the charged particle have the same poarity,1
"The north pole of a magnet is moved
into a coil through the end \( \boldsymbol{A} \) Simultaneously the north pole of another magnet is moved into the coil through the end \( B \) as shown in the
figure. The direction of induced emf will:",Be in the anticlockwise direction as seen through the end \( A \),Be in the clockwise direction as seen through the end \( B \),Depend on the speed with which the two magnets are moved,Depend on the speed with which the magnets are moved and the strengths of the magnets,,Physics,Electricity,Be in the anticlockwise direction as seen through the end \( A \),1
"\( A 2 \mathrm{m} \) long metallic rod rotates with an
angular frequency of 200 rads\( ^{-1} \) about an axis normal to the rod passing through its one end. The other end of the
rod is in contact with a circular metallic
ring. A constant magnetic field of \( 0.5 \mathrm{T} \) parallel to the axis exists everywhere. The emf developed between the centre and the ring is then
A . 100 v","The other end of the
rod is in contact with a circular metallic
ring. A constant magnetic field of \( 0.5 \mathrm{T} \) parallel to the axis exists everywhere. The emf developed between the centre and the ring is then
A . 100 v",200 V,300 \( v \),\( 400 \mathrm{v} \),,Physics,Electricity,"The other end of the
rod is in contact with a circular metallic
ring. A constant magnetic field of \( 0.5 \mathrm{T} \) parallel to the axis exists everywhere. The emf developed between the centre and the ring is then
A . 100 v",1
"The impurity atoms, with which pure silicon should be doped to make a ptype semiconductor, are those of This question has multiple correct options",phosphorous,boron,antimony,aluminium,,Physics,Electricity,phosphorous,1
"The Kirchhoff's first \( \operatorname{law}\left(\sum i=0\right) \) and second law \( \left(\sum i R=\sum E\right), \) where the symbols have their usual meanings, are respectively based on","conservation of charge, conservation of energy","Conservation of charge, conservation of momentum","conservation of energy, conservation of charge","conservation of momentum, conservation of charge",,Physics,Electricity,"conservation of charge, conservation of energy",1
"Assertion
Although the surfaces of goggle lenses are curved, it does not have any power
Reason
In case of goggle, both the curved surfaces have equal radii of curvature and have center of curvature on the
same side",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Assertion is incorrect but Reason is correct,,Physics,Electricity,Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,1
"Assertion
Kirchhoff's junction rule can be applied to a junction of several lines or a point in a line.
Reason
When steady current is flowing, there is no accumulation of charges at any junction or at any point in a line.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Both Assertion and Reason are incorrect,,Physics,Electricity,Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,1
"The electric current passing through a metallic wire produces heating because
of:",collisions of conduction electrons with each other,collisions of the atoms of the metal with each other,the energy released in the ionisation of the atom of the metal,collisions of the conduction electrons with the atoms of the metallic wire,,Physics,Electricity,collisions of conduction electrons with each other,1
"The power loss is less in transmission lines, when :",Voltage is less but current is more,Both voltage and current are more,Voltage is more but current is less,Both voltage and current are less,,Physics,Electricity,Voltage is less but current is more,1
"A moving coil ammeter requires a potential difference of \( 0.4 V \) across it for
full scale deflection. It has fixed shunt
resistance of 0.01 ohm with a coil
circuit resistance of \( \boldsymbol{R}=\mathbf{1} \boldsymbol{k} \) ohm. The
value of shunt required to give full scale deflection when the total current is \( 10 A \)
is equal to",0.02 ohm,0.04 ohm,0.05 ohm,0.06 ohm,,Physics,Electricity,0.02 ohm,1
"The uncharged metallic sphere \( \mathbf{A} \)
suspended as shown in the given figure
is given a push so that it moves towards the +ve plate. Which of the following statements is correct?",A touches the positive plate and remains in contact with it,A touches positive plate and then moves towards negative plate and remains in contact with it.,A moves to and fro between the two plates with a constant time period,A moves to and fro between the two plates with an increasing time period.,,Physics,Electricity,A touches the positive plate and remains in contact with it,1
"A current \( I=1.00 A \) circulates in a
round thin-wire loop of radius \( \boldsymbol{R}= \)
100 \( m m \). Find the magnetic
induction at the centre of the loop.",\( 7.3 \mu T \),\( 3.7 \mu T \),\( 3.6 \mu T \),\( 6.3 \mu T \),,Physics,Electricity,\( 7.3 \mu T \),1
"Six identical resistors are connected as
shown in the figure. The equivalent
resistance will be:",Maximum between P and R,Maximum between Q and R,Maximum between P and Q,All are equal,,Physics,Electricity,Maximum between P and R,1
Two electric charges \( q \) and \( -2 q \) are placed at a distance 3a apart. The locus of points in the plane of the charges where the field potential is zero is:,straight line,circle,ellipse,hyperbola,,Physics,Electricity,straight line,1
"A current of 3 A is flowing in a linear conductor having a length of \( 40 \mathrm{cm} . \) The conductor is placed in a magnetic field
of strength 500 gauss and makes an
angle \( 30^{\circ} \) with the direction of the field.
It experiences a force of magnitude
\( \mathbf{A} \cdot 3 \times 10^{-4} N \)","It experiences a force of magnitude
\( \mathbf{A} \cdot 3 \times 10^{-4} N \)",\( 3 \times 10^{-2} N \),\( 3 \times 10^{2} N \),\( 3 \times 10^{4} N \),,Physics,Electricity,"It experiences a force of magnitude
\( \mathbf{A} \cdot 3 \times 10^{-4} N \)",1
"Assertion
If we bend an insulated conducting wire, the resistance of the wire
increases.
Reason
The drift velocity of electrons in bent
wire decreases.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Both Assertion and Reason are incorrect,,Physics,Electricity,Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,1
"An electron enters an electric field with
its velocity in the direction of the electric lines of field then:",the path of the electron will be a circle,the path of the electron will be a parabola,the velocity of the electron will decrease just after entry,the velocity of the electron will increase just after entry,,Physics,Electricity,the path of the electron will be a circle,1
"The purpose of soft iron cylinder
between the pole pieces of the horse-
shoe magnet in a moving
coil galvanometer is","to increase the magnetic induction in the polar
\( \operatorname{gap} \)",to evenly distribute the magnetic lines of force,to provide a radial magnetic field,"to reduce the magnetic flux leakage in the polar
\( \operatorname{gap} \)",,Physics,Electricity,"to increase the magnetic induction in the polar
\( \operatorname{gap} \)",1
"In a pure capacitive circuit if the frequency of ac source is doubled, then its capacitive reactance will be",remains same,doubled,halved,zero,,Physics,Electricity,remains same,1
"The frequency of alternating current in
India is",50 cylces/s,100 cylces/s,150 cylces/s,200 cylces/s,,Physics,Electricity,50 cylces/s,1
"characteristic for a semiconductor
device. Which of the following
statement is correct?","It is V-I characteristic for solar cell where, point represents open circuit voltage and point B short
circuit current","It is for a solar cell and points A and B represent open circuit voltage and current, respectively",It is for a photodiode and points \( A \) and \( B \) represent open circuit voltage and current respectively,"It is for a LED and points A and B represent open circuit voltage and short circuit current, respectively",,Physics,Electricity,"It is V-I characteristic for solar cell where, point represents open circuit voltage and point B short
circuit current",1
