question,option_1,option_2,option_3,option_4,correct_option,Subject,topic,correct_answer,Correct_Option_Number
"Assertion
For a particle performing SHM, its speed decreases as it goes away from the mean position.
Reason
In SHM, the acceleration is always
opposite to the velocity of the particle.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Both Assertion and Reason are incorrect,,Physics,Kinematics,Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,1
Positive slope of displacement time graph implies,that the body is moving away from the reference point,that the body is moving towards the reference point,that the body is at rest,nothing as particular,,Physics,Kinematics,that the body is moving away from the reference point,1
"The velocity of a body moving in a straight line is increased by applying a constant force \( F \) for some distance in
the direction of the motion. The increase
in the kinetic energy of the body is equal to",the potential energy of the body.,the work done by the force on the body.,the momentum of the body.,the torque on the body.,,Physics,Kinematics,the potential energy of the body.,1
"A particle is thrown upwards with velocity \( 2 \mathrm{m} / \mathrm{s}, \) the velocity of particle after 2 s is :",\( 17.6 m / s \),\( -17.6 \mathrm{m} / \mathrm{s} \),\( 19.6 m / s \),\( -19.6 m / s \),,Physics,Kinematics,\( 17.6 m / s \),1
"Assertion
The relative velocity between the bodies
is equal to the sum of the velocities of
two bodies.
Reason
When body moves in opposite directions, the magnitude of the
relative velocity is equal to sum of magnitudes of individual velocities.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is incorrect but Reason is correct,Both Assertion and Reason are incorrect,,Physics,Kinematics,Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,1
"Figure represents the displacement-
time graph of motion of two cars \( A \) and",Find the distance by which the car B was initially ahead of Car A,\( -40 k m \),"\( 40 k m \)
\( c .0 k m \)",\( 100 k m \),,Physics,Kinematics,Find the distance by which the car B was initially ahead of Car A,1
"A person standing between a pair of tall and wide cliffs claps his hands. He hears the first two echoes at 2 sec and 3
sec respectively. If the speed of sound is \( 330 \mathrm{m} / \mathrm{sec}, \) then",Separation between the cliffs is \( 825 \mathrm{m} \),The time of third echo is 5 second,every third echo is the loudest,"after the second echo,none is formed",,Physics,Kinematics,Separation between the cliffs is \( 825 \mathrm{m} \),1
"toppr
Q Type your question
insulated from each other. The entire
loop lies in the plane (of the paper). A
uniform magnetic field \( B \) point into the
plane of the paper. At \( t=0, \) the loop
starts rotating about the common
diameter as axis with a constant
angular velocity \( \omega \) in the magnetic field Which of the following options is/are
correct?
This question has multiple correct options",The amplitude of the maximum net \( e m f \) induced due to both the loops is equal to the amplitude of maximum \( e m f \) induced in the smaller loop alone,The rate of change of the flux is maximum when the plane of the loops is perpendicular to plane of the paper,The \( e m f \) induced in the loop is proportional to the surn of the areas of the two loops,The net \( e m f \) induced due to both the loops is proportional to cos \( \omega t \),,Physics,Kinematics,The amplitude of the maximum net \( e m f \) induced due to both the loops is equal to the amplitude of maximum \( e m f \) induced in the smaller loop alone,1
"Two bodies collide at the same
temperature. Which of the following must remain conserved?
(i) Velocity
(ii) Momentum
(iii) Kinetic energy",Only (i) and (ii),Only (ii),only (i) and (iii),"(i), (ii) and (iii)",,Physics,Kinematics,Only (i) and (ii),1
"Assertion
A body is moved from \( x=2 \) to \( x=1 \)
under a force \( \boldsymbol{F}=\mathbf{4} \boldsymbol{x} \), the work done by
this force is negative.
Reason
Force and displacement are in opposite directions.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Both Assertion and Reason are incorrect,,Physics,Kinematics,Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,1
"Assertion
A raindrop after falling through some height attains a constant velocity
Reason
At constant velocity, the viscous drag is
just equal to its weight.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Assertion is incorrect but Reason is correct,,Physics,Kinematics,Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,1
"Assertion
An ideal fluid is flowing through a pipe. Speed of fluid particles is more at places where pressure is low.
Reason
Bernoulli's theorem can be derived from
work-energy theorem.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Both Assertion and Reason are incorrect,,Physics,Kinematics,Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,1
