question,option_1,option_2,option_3,option_4,correct_option,Subject,topic,correct_answer,Correct_Option_Number
"Assertion
The center of mass of a body may lie where there is no mass.
Reason
Centre of mass of a body is a point, where the whole mass of the body is
supposed to be concentrated.",A. Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Assertion is incorrect but Reason is correct,,Physics,Mechanics,A. Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,1
"A point mass of \( 10 k g \) is placed at the
centre of Earth. The weight of the point mass will be",zero,Infinite,Less than zero,\( 10 k g \),,Physics,Mechanics,zero,1
"Assertion: Stress is the internal force
per unit area of a body Reason: Rubber is more elastic than
stee",If both assertion and reason are true but the reason is the correct explanation of assertion.,If both assertion and reason are true but the reason is not the correct explanation of assertion,If assertion is true but reason is false,"If both the assertion and reason are false.
E. If reason is true but assertion is false",,Physics,Mechanics,If both assertion and reason are true but the reason is the correct explanation of assertion.,1
"If the radius of the earth were to shrink
by one percent, its mass remaining the same, acceleration due to gravity on the
earth's surface would:",decrease,reamain unchanged,increase,be zero,,Physics,Mechanics,decrease,1
Which of the following is a non-contact force?,Gravitational force,Magnetic forces,Electric force,All,,Physics,Mechanics,Gravitational force,1
Which of the following is a self adjusted force?,sliding friction,static friction,limiting friction,dynamic friction,,Physics,Mechanics,sliding friction,1
"Block A mass 2 kg is placed over a block
B mass 8 kg. The combination is placed on a rough horizontal surface. If \( \mathrm{g}=10 \mathrm{ms}^{-2} \)
coefficient offiction between \( \mathbf{B} \) and
floor \( =0.5, \) coefficient offfiction
betweenA and \( \mathrm{B}=0.4 \) and a horizontal
force on \( 10 \mathrm{N} \) is placed of8 \( \mathrm{kg} \) block, then the force friction between \( A \)
and B is:",\( 100 N \),50N,\( 40 \mathrm{N} \),None of these,,Physics,Mechanics,\( 100 N \),1
"A positroniuim consists of an electron and a positron revolving about their common centre of mass. Calculate the
kinetic energy of the electron in ground
state:",1.51 eV,3.4 eV,\( 6.8 e V \),13.6 eV,,Physics,Mechanics,1.51 eV,1
"The force of friction is
normal reaction between the surfaces.",Inversely propotional to,directly propotional to,propotional to the square of,independent of,,Physics,Mechanics,Inversely propotional to,1
Center of gravity is usually located where,less mass is concentrated,less weight is concentrated,more mass is concentrated,more weight is concentrated,,Physics,Mechanics,less mass is concentrated,1
