question,option_1,option_2,option_3,option_4,correct_option,Subject,topic,correct_answer,Correct_Option_Number
Which waves are used in sonography?,Microwaves,Infrared rays,Radio waves,Ultrasonic waves,,Physics,Mixed Questions,Microwaves,1
Complete the following statement. All İsotopes of Uranium have,the same atomic number and the same mass number.,different atomic numbers but the same mass number.,"different atomic numbers and different mass
numbers.","the same atomic number but different mass numbers.
E. no electrons.",,Physics,Mixed Questions,the same atomic number and the same mass number.,1
Staring at computer screen for a very long time may cause,dry eyes,blurry vision,eye strain,all of these,,Physics,Mixed Questions,dry eyes,1
"In a standing wave, node is a point of",maximum strain,maximum pressure,maximum density,All of these,,Physics,Mixed Questions,maximum strain,1
"Assertion
Electric conduction in gases is possible
at normal pressure.
Reason
The electric conduction in gases
depends only upon the potential difference between the electrodes.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Both Assertion and Reason are incorrect,,Physics,Mixed Questions,Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,1
"Which of the following are correct?
This question has multiple correct options",An astronaut going from the earth to the Moon will experience weightlessness once.,"When a thin uniform spherical shell gradually shrinks maintaining its shape, the gravitational potential at its centre decreases","In the case of a spherical shell, the plot of \( V \) versus \( r \) is continuous.","In the case of a spherical shell, the plot gravitational field intensity \( I \) versus \( r \) is continuous",,Physics,Mixed Questions,An astronaut going from the earth to the Moon will experience weightlessness once.,1
"In a transistor, forward bias is always
smaller than the reverse bias. This is
done to :",Maintain constant current supply,get good output,Avoid excessive heating of transistor,Maintain flow of majority charge carriers,,Physics,Mixed Questions,Maintain constant current supply,1
"A beam of cathode rays moves from left
to right in a plane of the paper and it enters into a uniform magnetic field acting perpendicular to the plane of the paper and inwards. Now, the cathode rays are deflected:",Downwards,Upwards,In a direction perpendicular to the plane of the paper and inwards,In a direction perpendicular to the plane of the paper and outwards,,Physics,Mixed Questions,Downwards,1
What Benjamin Franklin invented?,Bifocal spectacles,Radio,Barometer,Hygrometer,,Physics,Mixed Questions,Radio,2
"An electromagnetic wave of frequency
\( \boldsymbol{v}=\mathbf{3} \) MHz passes from a vacuum into
a dielectric medium with permittivity
\( =4, \) Then",Wavelength and frequency both become half.,Wavelength is doubled and frequency remains unchanged.,Wavelength and frequency both remains unchanged.,Wavelength is halfved and frequency remains unchanged.,,Physics,Mixed Questions,Wavelength and frequency both become half.,1
"A real image, equal in size to the object, is obtained when the object is placed at the centre of curvature in front of a:",Concave mirror,Plane mirror,Convex mirror,None of these,,Physics,Mixed Questions,Concave mirror,1
"Braille is a
based on \( _{-}-_{-}-_{-}- \) system.","binary, binary","coded, logical","binary, coded","logical, binary",,Physics,Mixed Questions,"binary, binary",1
"Sound travels the fastest in which of the
following mediums?",water,steel,Air,Kerosene oil,,Physics,Mixed Questions,water,1
Microwaves are detected by,barometer,point contact diodes,thermopiles,the eye,,Physics,Mixed Questions,barometer,1
"A uniform rod is resting freely over a
smooth horizontal plane. A particle
moving horizontally strikes at one end
of the rod normally and gets stuck. Then
This question has multiple correct options",the momentum of the particle is shared between the particle and the rod and remains conserved,the angular momentum about the mid-point of the rod before and after the collision is equal,the angular momentum about the centre of mass of the combination before and after the collision is equal,the centre of mass of the rod particle system starts to move translationally with the original momentum of the particle,,Physics,Mixed Questions,the momentum of the particle is shared between the particle and the rod and remains conserved,1
"If an oscillation copper disc is placed in a
magnetic field, then",The frequency of oscillations is decreasing continuously.,The frequency of oscillations is increasing continuously.,The frequency of oscillations is constant,None of these.,,Physics,Mixed Questions,The frequency of oscillations is decreasing continuously.,1
Identify the action that can cause motion of a book placed on a table.,Pulling,Pushing,Lifting,All of the above,,Physics,Mixed Questions,Pulling,1
"The state of rest or state of motion of a
body can be changed by using",Pressure,Force,Heat,None of these,,Physics,Mixed Questions,Pressure,1
"When a p-n diode is reverse biased, then",no current flows,the depletion region is increased,the depletion region is reduced,the height of the potential barrier is reduced,,Physics,Mixed Questions,no current flows,1
The property to restore the natural shape or to oppose the deformation is called:,elasticity,plasticity,ductility,none of the above,,Physics,Mixed Questions,elasticity,1
The Zeroth law of thermodynamics leads to the concept of,internal energy,heat content,pressure,"temperature
E. work done",,Physics,Mixed Questions,pressure,3
A flow of liquid is streamline if the Reynold number is,Less than 1000,Greater than 1000,Between 2000 to 3000,Between 4000 to 5000,,Physics,Mixed Questions,Less than 1000,1
Classical physics is applicable to the,microscopic world,macroscopic world,both microscopic and macroscopic world,cannot say,,Physics,Mixed Questions,microscopic world,1
Electric Fuse wire is working on principle.,control of voltage in circuit,chemical effect of electric current,control of current in circuit,heating effect of electric current,,Physics,Mixed Questions,control of voltage in circuit,1
"If the thermal capacity of a body is infinity, then which of the following
statements are correct?",Heat can never be added to it,Heat can never be extracted from it,The temperature of the body cannot be altered by adding or extracting any amount of heat,It has infinite amount of heat,,Physics,Mixed Questions,Heat can never be added to it,1
"According to Hooke's Law, the elongation produced in a body is :",proportional to the force applied,inversely proportional to the force applied,constant,independent of the force applied,,Physics,Mixed Questions,constant,3
"In the middle of the depletion layer of a reverse biased \( p-n \) junction, the",Potential is zero,Potential is maximum,Electric field is maximum,Electric field is zero,,Physics,Mixed Questions,Potential is zero,1
"When we enter cinema hall, we cannot
see properly for short time. This is because",Pupil does not open,Pupil does not close,Adjustment of pupil takes sometime,,,Physics,Mixed Questions,Pupil does not open,1
"The weak zone around the boundaries of
plates underneath the Earth, which is prone to slide and cause an earthquake is commonly known as:",Fault zone,Eruption zone,Explosive zone,Sliding zone,,Physics,Mixed Questions,Fault zone,1
"A man can read the number of a distant
bus clearly but is not able to read a book clearly. Which defect of the eye is he suffering from?",Myopia,Hypermetropia,cataract,Astigmatism,,Physics,Mixed Questions,Myopia,1
"Out of given paramagnetic substance (Calcium, Chromium, Oxygen and Tungsten) which substance has maximum susceptibility?",Calcium,Chromium,oxygen,Tungsten,,Physics,Mixed Questions,Calcium,1
