question,option_1,option_2,option_3,option_4,Subject,topic,correct_answer,Correct_Option_Number
"Photoelectric effect supports the
quantum nature of light because
This question has multiple correct options",There is minimum frequency of light below which no photoelectrons are emitted,The maximum KE of photoelectrons depends only on the frequency of light and not on its intensity,"Even when the metal surface is faintly illuminated by light of wavelength less than the threshold wavelength, the photoelectrons leave the surface immediately",Electric charge of photoelectrons is quantized,Physics,Modern Physics,The maximum KE of photoelectrons depends only on the frequency of light and not on its intensity,2
A positron and an electron come close together to give a neutral one called,Electronium,Positronium,\( \gamma \) -photon,\( \beta \) -particle,Physics,Modern Physics,Electronium,1
Which of the following pairs are isotopes?,Oxygen and Ozone,Ice and Steam,Nitric oxide and Nitrogen dioxide,Hydrogen and Deuterium,Physics,Modern Physics,Oxygen and Ozone,1
"Assertion
In a decay process of a nucleus, the
mass of products is less than that of
the parent.
Reason
The rest mass energy of the products must be less than that of the parent",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Both Assertion and Reason are incorrect,Physics,Modern Physics,Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,1
In an unbiased \( n \) -p junction electrons diffuse from n-region to p- region because,electrons travel across the junction due to potential difference,electrons concentration in n region is more as compared to that in p-region,holes in p-region attract them.,only electrons move from n- to p- region and not the vice-versa.,Physics,Modern Physics,only electrons move from n- to p- region and not the vice-versa.,4
"The maximum kinetic energy of
photoelectrons",depends on collector plate,is independent of emitter plate material,is independent of frequency of incident radiation,"depends on the frequency of light source and the nature of emitter plate material
E. depends on intensity of incident radiation",Physics,Modern Physics,depends on collector plate,1
Fast neutrons can easily be slowed down by,the use of lead shielding,passing them through water,elastic collision with heavy nuclei,applying a strong electric field,Physics,Modern Physics,the use of lead shielding,1
"Which electrons are easy to create as
free electrons?",Electrons in the first shell,Electrons in the outermost valence shell,Electrons present beyond the valence shell,All of the above,Physics,Modern Physics,Electrons in the first shell,1
"One gram of radium is reduced by \( 2 m g \)
in 5 years by \( \alpha \) - decay. The half life of radium is:
\( \left(\log _{10} 998=2.9991\right) \)",1520.4 years,1671.7 years,1617.5 years,1732.86 years,Physics,Modern Physics,1520.4 years,1
Infrared radiation are detected by,spectrometer,pyrometer,nanometer,photometre,Physics,Modern Physics,photometre,4
The half life period of \( N^{13} \) is 10.1 minute. Its mean life time is :,5.05 minutes,20.2 minutes,\( \frac{10.1}{0.6931} \) minutes,Infinity,Physics,Modern Physics,20.2 minutes,2
"Consider two nuclei of same radioactive
nuclide. One of the nuclei was created
in a supernova explosion 5 billion years ago. The other was created in a nuclear reaction 5 minutes ago. The probability of decay during next time is",different of each nuclei,nuclei created in explosion decays first,nuclei created in the reactor decays first,independent of time of creation,Physics,Modern Physics,different of each nuclei,1
An electron is travelling along the \( x \) direction. It encounters a magnetic field in the ydirection. Its subsequent motion will be,straight line along the x-direction,a circle in the zx-plane,a circle in the yz-plane,a circle in the xy-plane,Physics,Modern Physics,straight line along the x-direction,1
"Assertion
In Rutherford's gold foil experiment very
few \( \boldsymbol{\alpha} \) - particles are deflected back.
Reason

Nucleus present inside the atom is heavy.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Both Assertion and Reason are incorrect,Physics,Modern Physics,Assertion is correct but Reason is incorrect,3
"Assertion
The average mass of one Mg atom is
24.305 amu, which is not equal to the actual mass of one Mg atom.
Reason Three isotopes, \( ^{24} M g,^{25} M g \) and \( ^{26} M g \) of Mg can be found in nature.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Assertion is incorrect but Reason is correct,Physics,Modern Physics,Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,1
"In a region of space the electronic field is given by \( \vec{E}=(8 \hat{i}+4 \hat{j}) N / C . \) The electric
flux through a surface of area \( 10 \mathrm{m}^{2} \) in the
x-y plane is",80 units,40 units,120 units,zero,Physics,Modern Physics,80 units,1
"Assertion
Vibrational energy of diatomic molecule corresponding to each degree of
freedom is \( k_{B} T \)
Reason
For every molecule, vibrational degree of freedom is 2",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion.,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Both Assertion and Reason are incorrect,Physics,Modern Physics,Both Assertion and Reason are correct and Reason is the correct explanation for Assertion.,1
With the increase in quantum number the energy difference between consecutive energy levels,remains constant,decreases,increases,sometimes increases sometimes decreases,Physics,Modern Physics,remains constant,1
"When \( _{3} L i^{7} \) nuclei are bombarded by
protons and the resultant nuclei are
\( 4 B e^{8}, \) the emitted particles will be?",Alpha particles,Beta particles,Gamma photons,Neutrons,Physics,Modern Physics,Alpha particles,1
"In Rutherford's alpha-ray scattering experiment, a screen is used to detect the alpha particles which is coated by",carbon black,platinum black,zinc sulphide,poly tetrafluoro ethylene,Physics,Modern Physics,carbon black,1
Which one of the following is the primary effect of UV radiation caused due to depletion of ozone layer?,Heart attack,Skin cancer,High fever,"All of these
E. None of these",Physics,Modern Physics,Heart attack,1
"Consider the nuclear change \( \mathbf{9 3}^{237} \boldsymbol{X} \stackrel{-\boldsymbol{\alpha}}{\longrightarrow} \boldsymbol{A} \stackrel{-\boldsymbol{\beta}}{\longrightarrow} \boldsymbol{B} \stackrel{-\boldsymbol{\alpha}}{\longrightarrow} \boldsymbol{C} \)
Which of the following statements is
not correct?",Mass number of B is 233,Atomic number of A is 9,\( c \) is an isotope of,B is an isobar of A,Physics,Modern Physics,Mass number of B is 233,1
"Assertion
For nuclear reactor, it is desirable to
have (Multiplication Factor) \( k=1 \)
Reason
Sustained chain reaction occur at this
critical condition.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Both Assertion and Reason are incorrect,Physics,Modern Physics,Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,1
"The fission of a heavy nucleus gives, in
general, two smaller nuclei, two or three neutrons, some \( \beta- \) particles, and
some \( \gamma- \) radiation. It is always true
that the nuclei produced",have a total rest-mass that is greater than that of the original nucleus,have large kinetic energies that carry off the greater part of the energy released,travel in exactly opposite directions,"have neutron-to-proton ratios that are too low for stability
E. have identical neutron-to",Physics,Modern Physics,have large kinetic energies that carry off the greater part of the energy released,2
Which of the following waste is present in coolant water from atomic reactors?,Solid municipal waste,Low-level radioactive waste,High-level radioactive waste,None of the above,Physics,Modern Physics,Solid municipal waste,1
"In a photoelectric effect, the anode
potential is plotted against the plate
current","A and B will have different intensities while B and
will have different frequencies",B and C will have different intensities while A and will have different frequencies,\( A \) and \( B \) will have different intensities while \( A \) and \( C \) will have equal frequencies,A and B will have equal intensities while B and C will have different frequencies,Physics,Modern Physics,"A and B will have different intensities while B and
will have different frequencies",1
"An electron with kinetic energy 5 eV is
incident on a hydrogen atom in its ground state. The collision",must be elastic,may be partially elastic,must be completely inelastic,may be completely inelastic,Physics,Modern Physics,must be elastic,1
The kinetic energy of an electron in the first Bhor orbit of hydrogen is :,13.6 eV,6.8 eV,\( -13.6 e V \),27 eV,Physics,Modern Physics,13.6 eV,1
"The volume that a gas occupies at \( 343 \mathrm{K} \) if its volume at \( -25^{0} \mathrm{C} \) is 7.5 litre is (The
process is isobaric)",A. 10.29 Itrs,102.9 Itrs,1.029 Itrs,1029 Itrs,Physics,Modern Physics,A. 10.29 Itrs,1
"An alpha particle of \( 5 \mathrm{MeV} \) at a large
distance proceeds towards a gold nucleus \( (Z=79) \) to make a head on
collision. The closest distance of
approach from the centre of gold nucleus
is:",\( 20 f m \),15 fm,\( 10 f m \),45 fm,Physics,Modern Physics,\( 20 f m \),1
"The half life of a radioactive nucleus is
50 days.The time interval \( \left(t_{2}-t_{1}\right) \)
between the time \( t_{2} \) when \( \frac{2}{3} \) of it has
decayed and the time \( t_{1} \) when \( \frac{1}{3} \) of it
had delayed is-",50 days,60 days,15 days,30 days,Physics,Modern Physics,30 days,4
Two streams of electrons are moving parallel to each other in the same direction. They,attract each other,repel each other,cancel the electric field of each other,cancel the magnetic field of each other,Physics,Modern Physics,attract each other,1
"In the given figure, the electron enters into the magnetic field. It deflects in \( x \) direction

Two parallel beams of electrons moving in the same direction produce a mutual force
\( A \cdot+ \) ve \( X \) direction","It deflects in \( x \) direction

Two parallel beams of electrons moving in the same direction produce a mutual force
\( A \cdot+ \) ve \( X \) direction",#NAME?,\( + \) ve \( Y \) direction,#NAME?,Physics,Modern Physics,"It deflects in \( x \) direction

Two parallel beams of electrons moving in the same direction produce a mutual force
\( A \cdot+ \) ve \( X \) direction",1
"Photoelectric effect supports quantum
nature of light because
This question has multiple correct options",there is a maximum frequency of light below which no photoelectrons are emitted,the maximum kinetic energy of photoelectrons depends only on the frequency of light and not on its intensity,"even when the metal surface is faintly illuminated, the photoelectrons leave the surface immediately",electric charge of the photoelectrons is quantized,Physics,Modern Physics,there is a maximum frequency of light below which no photoelectrons are emitted,1
Packets of which of the following quantity best describe photons?,energy,mass,volume,"power
E. waves",Physics,Modern Physics,energy,1
"The energy levels of the hydrogen spectrum is shown in figure. There are some transitions \( A, B, C, D \) and \( E \)
Transition \( A, B \) and \( C \) respectively represent","first member of Lyman series, third spectral line of Balmer series and the second spectral line of Paschen series","ionization potential of hydrogen, second spectral line of Balmer series, third spectral line of Paschen series","series limit of Lyman series, third spectral line of Balmer series and second spectral line of Paschen series","series limit of Lyman series, second spectral line of Balmer series and third spectral line of Paschen series",Physics,Modern Physics,"first member of Lyman series, third spectral line of Balmer series and the second spectral line of Paschen series",1
"Atomic number (Z) of a neutral atom and mass number (A) of an atom are
equal to:
(Here \( n= \) number of neutrons and \( p= \)
number of protons)
\( A \cdot Z=n \) and \( A=n+p \)","of an atom are
equal to:
(Here \( n= \) number of neutrons and \( p= \)
number of protons)
\( A \cdot Z=n \) and \( A=n+p \)",\( z=e \) and \( A=n+e \),\( z=p \) and \( A=n+p \),\( z=n \) and \( A=p+e \),Physics,Modern Physics,"of an atom are
equal to:
(Here \( n= \) number of neutrons and \( p= \)
number of protons)
\( A \cdot Z=n \) and \( A=n+p \)",1
"When the number of nucleons in nuclei
increases, the binding energy per
nucleon",increases continuously with mass number,decreases continuously with mass number,remains constant with mass number,first increases and then decreases with increase of mass number,Physics,Modern Physics,increases continuously with mass number,1
