question,option_1,option_2,option_3,option_4,correct_option,Subject,topic,correct_answer,Correct_Option_Number
"When a liquid is heated retaining its liquid state, then its molecules gain",Kinetic energy,potential energy,heat energy,both kinetic and potential energy,,Physics,Thermodynamics,Kinetic energy,1
The concept of temperature is related to,zeroeth law of thermodynamics,first law of thermodynamics,second law of thermodynamics,third law of thermodynamics,,Physics,Thermodynamics,zeroeth law of thermodynamics,1
"To measure high temperatures \( > \)
\( 2500^{\circ} \mathrm{C}, \) we use",constant volume gas thermometer,thermocouple,resistance thermometer,pyrometer,,Physics,Thermodynamics,constant volume gas thermometer,1
"The figure shows a cross-section of a
double glass unit of a window on a
vertical wall. A graph of the temperatures at different points within
the unit is shown next to it. The
temperature difference across the unit
is 13 K. It has a cross-sectional are of 1.3
and the rate of heat flow through it is 65
W. Then the correct statement is (Glass
has a thermal conductivity of
\( \mathbf{1} W \boldsymbol{m}^{-1} \boldsymbol{K}^{-1} \boldsymbol{)} \)",The unit is in steady state and in thermal equilibrium.,The unit is in steady state but not in thermal equilibrium,The unit is not in steady state but is in thermal equilibrium.,The unit neither in steady state not in thermal equilibrium.,,Physics,Thermodynamics,The unit is in steady state and in thermal equilibrium.,1
"When in thermal contact, the quantity of heat lost by the hotter body is the amount of heat gained by the colder body.",Equal to,Greater than,Less than,cannot say,,Physics,Thermodynamics,Equal to,1
What is the process in which heat energy of both hot and cold body equalizes?,Calorimetry,Fermentation,Latent heat,Hidden heat,,Physics,Thermodynamics,Calorimetry,1
"In a winter season, a heat pump is used to warm the room. A heat pump works \( 60 \mathrm{J} \) on the pump while it absorbs \( 90 \mathrm{J} \)
of heat. How much heat is delivered to
the house?","5,400 J",150 J,30 J,"1.5 J
E . 0.67 J",,Physics,Thermodynamics,"5,400 J",1
"Iron glows in red colour when it is
heated to very high temperature. The reason for this is :",Heat we supply consumes red colour at high temperature,Mechanical energy is being converted into heat energy,All metals glow in red colour when heated,Heat energy is being converted into light energy,,Physics,Thermodynamics,Heat we supply consumes red colour at high temperature,1
"is a process of transfer of
heat by the actual movement of the medium particles.",Conduction,Convection,Radiation,All,,Physics,Thermodynamics,Conduction,1
"Curie temperature is the temperature
above which:",paramagnetic material becomes ferromagnetic material,ferromagnetic material becomes diamagnetic material,ferromagnetic material becomes paramagnetic material,paramagnetic material becomes diamagnetic material,,Physics,Thermodynamics,paramagnetic material becomes ferromagnetic material,1
Molar heat capacity of water in equilibrium with the ice at constant pressure is,zero,Infinity,\( 40.45 k^{-1} \mathrm{mol}^{-1} \),,,Physics,Thermodynamics,zero,1
